('54', '8.411862279514622', 'Memento', '2000', 'Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss')
('55', '8.409113420889373', 'The Great Dictator', '1940', 'Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard')
('56', '8.40575914753239', 'Raiders of the Lost Ark', '1981', 'Steven Spielberg (dir.), Harrison Ford, Karen Allen')
('57', '8.399027944744416', 'Hamilton', '2020', 'Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo')
('58', '8.392665672961375', 'Django Unchained', '2012', 'Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz')
('59', '8.390146693234241', 'The Lives of Others', '2006', 'Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck')
('60', '8.376631015685678', 'Paths of Glory', '1957', 'Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker')
('61', '8.375544744733581', 'Joker', '2019', 'Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro')
('62', '8.37014740994435', 'WALL·E', '2008', 'Andrew Stanton (dir.), Ben Burtt, Elissa Knight')
('63', '8.366053163447532', 'The Shining', '1980', 'Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall')
('64', '8.362735671537958', 'Avengers: Infinity War', '2018', 'Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth')
('65', '8.359484113946683', 'Sunset Blvd', '1950', 'Billy Wilder (dir.), William Holden, Gloria Swanson')
('66', '8.355673320471523', 'Witness for the Prosecution', '1957', 'Billy Wilder (dir.), Tyrone Power, Marlene Dietrich')
('67', '8.3496666582436', 'Oldeuboi', '2003', 'Chan-wook Park (dir.), Choi Min-sik, Yoo Ji-Tae')
('68', '8.349235886914272', 'Mononoke-hime', '1997', 'Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida')
('69', '8.349126072383983', 'Spider-Man: Into the Spider-Verse', '2018', 'Bob Persichetti (dir.), Shameik Moore, Jake Johnson')
('70', '8.345823881294974', 'Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb', '1964', 'Stanley Kubrick (dir.), Peter Sellers, George C. Scott')
('71', '8.331302700171964', 'The Dark Knight Rises', '2012', 'Christopher Nolan (dir.), Christian Bale, Tom Hardy')
('72', '8.329367700770709', 'Once Upon a Time in America', '1984', 'Sergio Leone (dir.), Robert De Niro, James Woods')
('73', '8.32240150865046', 'Kimi no na wa', '2016', 'Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi')
('74', '8.321839973994525', 'Aliens', '1986', 'James Cameron (dir.), Sigourney Weaver, Michael Biehn')
('75', '8.318416097782006', 'Coco', '2017', 'Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal')
('76', '8.312958267884712', 'Avengers: Endgame', '2019', 'Anthony Russo (dir.), Robert Downey Jr., Chris Evans')
('77', '8.304149292281418', 'American Beauty', '1999', 'Sam Mendes (dir.), Kevin Spacey, Annette Bening')
('78', '8.30184406933793', 'Braveheart', '1995', 'Mel Gibson (dir.), Mel Gibson, Sophie Marceau')
('79', '8.300090915348724', 'Capharnaüm', '2018', 'Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw')
('80', '8.29858815801569', 'Das Boot', '1981', 'Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer')
('81', '8.297427261512244', '3 Idiots', '2009', 'Rajkumar Hirani (dir.), Aamir Khan, Madhavan')
('82', '8.297340613700277', 'Toy Story', '1995', 'John Lasseter (dir.), Tom Hanks, Tim Allen')
('83', '8.294719478851647', 'Tengoku to jigoku', '1963', 'Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada')
('84', '8.290380815813041', 'Amadeus', '1984', 'Milos Forman (dir.), F. Murray Abraham, Tom Hulce')
('85', '8.287141448810507', 'Inglourious Basterds', '2009', 'Quentin Tarantino (dir.), Brad Pitt, Diane Kruger')
('86', '8.283726739527307', 'Star Wars: Episode VI - Return of the Jedi', '1983', 'Richard Marquand (dir.), Mark Hamill, Harrison Ford')
('87', '8.282677251988055', 'Good Will Hunting', '1997', 'Gus Van Sant (dir.), Robin Williams, Matt Damon')
('88', '8.28168779582725', 'Taare Zameen Par', '2007', 'Aamir Khan (dir.), Darsheel Safary, Aamir Khan')
('89', '8.278659768694988', 'Reservoir Dogs', '1992', 'Quentin Tarantino (dir.), Harvey Keitel, Tim Roth')
('90', '8.268801115183791', '2001: A Space Odyssey', '1968', 'Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood')
('91', '8.265293910735577', 'Requiem for a Dream', '2000', 'Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto')
('92', '8.261700164771243', 'Vertigo', '1958', 'Alfred Hitchcock (dir.), James Stewart, Kim Novak')
('93', '8.261574736728537', 'M - Eine Stadt sucht einen Mörder', '1931', 'Fritz Lang (dir.), Peter Lorre, Ellen Widmann')
('94', '8.260843851277095', 'Jagten', '2012', 'Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen')
('95', '8.257958936970718', 'Eternal Sunshine of the Spotless Mind', '2004', 'Michel Gondry (dir.), Jim Carrey, Kate Winslet')
('96', '8.255259369820697', 'Citizen Kane', '1941', 'Orson Welles (dir.), Orson Welles, Joseph Cotten')
('97', '8.253895119904879', 'Dangal', '2016', 'Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar')
('98', '8.246535210316413', 'Full Metal Jacket', '1987', 'Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey')
('99', '8.246450487145012', 'Ladri di biciclette', '1948', 'Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola')
('10', '8.246231263668934', " Singin' in the Rain", '1952', "Stanley Donen (dir.), Gene Kelly, Donald O'Connor")
('101', '8.245836440343606', 'The Kid', '1921', 'Charles Chaplin (dir.), Charles Chaplin, Edna Purviance')
('102', '8.242759045224362', 'Snatch', '2000', 'Guy Ritchie (dir.), Jason Statham, Brad Pitt')
('103', '8.242575355195395', 'North by Northwest', '1959', 'Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint')
('104', '8.242016792082403', 'A Clockwork Orange', '1971', 'Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee')
('105', '8.241289306087165', 'Scarface', '1983', 'Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer')
('106', '8.241120096349086', '1917', '2019', 'Sam Mendes (dir.), Dean-Charles Chapman, George MacKay')
('107', '8.24089655657634', 'Idi i smotri', '1985', 'Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova')
('108', '8.239685036450462', 'Ikiru', '1952', 'Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko')
('109', '8.235649974067611', 'Taxi Driver', '1976', 'Martin Scorsese (dir.), Robert De Niro, Jodie Foster')
('110', '8.231405413498818', 'Toy Story 3', '2010', 'Lee Unkrich (dir.), Tom Hanks, Tim Allen')
('111', '8.23128774027892', 'Incendies', '2010', 'Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin')
('112', '8.231197110992051', 'Jodaeiye Nader az Simin', '2011', 'Asghar Farhadi (dir.), Payman Maadi, Leila Hatami')
('113', '8.231172373192946', 'Lawrence of Arabia', '1962', "David Lean (dir.), Peter O'Toole, Alec Guinness")
